step_index,reference_next_timestep,reference_trajectory_source,reference_state_norm,target_state_norm_before,residual_norm,mask_latent_token_count
30,361,scheduler_add_noise,218.173599,232.331848,19.164942,907
31,341,scheduler_add_noise,215.423859,229.106171,11.922241,907
32,321,scheduler_add_noise,212.540451,227.113007,7.611058,907
33,301,scheduler_add_noise,209.61438,225.476532,5.054428,907
34,281,scheduler_add_noise,206.650146,223.913834,3.54723,907
35,261,scheduler_add_noise,203.69899,222.173752,2.667023,907
36,241,scheduler_add_noise,200.698364,220.431229,2.146134,907
37,221,scheduler_add_noise,197.75206,218.712433,1.835886,907
38,201,scheduler_add_noise,194.83284,216.933228,1.643363,907
39,181,scheduler_add_noise,191.906387,215.228592,1.52562,907
40,161,scheduler_add_noise,189.041245,213.485977,1.450417,907
41,141,scheduler_add_noise,186.258957,211.723801,1.408664,907
42,121,scheduler_add_noise,183.574829,210.105576,1.389635,907
43,101,scheduler_add_noise,180.892532,208.505646,1.396643,907
44,81,scheduler_add_noise,178.429596,206.960526,1.417809,907
45,61,scheduler_add_noise,176.048126,205.468521,1.473539,907
46,41,scheduler_add_noise,173.772293,204.094131,1.556725,907
47,21,scheduler_add_noise,171.573685,202.606049,1.710195,907
48,1,scheduler_add_noise,169.400101,200.727173,2.281808,907
49,None,clean_reference_x0,169.183594,200.688232,1.912675,907
